Bx(T),By(T),std_Bx(T),std_By(T)
-0.002668,0.436999,0.000082,0.000106
-0.002721,0.437375,0.000088,0.000077
-0.002780,0.437715,0.000085,0.000059
-0.002874,0.438115,0.000078,0.000059
-0.002888,0.438582,0.000078,0.000054
-0.002805,0.438998,0.000078,0.000051
-0.002725,0.439298,0.000078,0.000056
-0.002772,0.439545,0.000084,0.000052
-0.002927,0.439925,0.000091,0.000058
-0.002960,0.440448,0.000101,0.000082
-0.002873,0.440897,0.000092,0.000124
-0.002781,0.441293,0.000109,0.000110
-0.002668,0.441628,0.000113,0.000088
-0.002630,0.441889,0.000119,0.000075
-0.002675,0.442216,0.000105,0.000112
-0.002674,0.442610,0.000114,0.000101
-0.002609,0.442980,0.000122,0.000068
-0.002546,0.443275,0.000130,0.000065
-0.002557,0.443543,0.000127,0.000120
-0.002633,0.443850,0.000124,0.000149
-0.002728,0.444259,0.000138,0.000125
-0.002709,0.444741,0.000138,0.000113
-0.002591,0.445130,0.000126,0.000123
-0.002523,0.445446,0.000132,0.000093
-0.002468,0.445751,0.000132,0.000078
-0.002467,0.446021,0.000134,0.000083
-0.002524,0.446344,0.000139,0.000108
-0.002568,0.446730,0.000129,0.000140
-0.002558,0.447165,0.000146,0.000121
-0.002432,0.447577,0.000133,0.000131
-0.002267,0.447816,0.000142,0.000106
-0.002304,0.447942,0.000139,0.000111
-0.002506,0.448249,0.000123,0.000131
-0.002599,0.448725,0.000137,0.000090
-0.002565,0.449175,0.000136,0.000086
-0.002508,0.449561,0.000128,0.000111
-0.002501,0.449930,0.000137,0.000102
-0.002447,0.450415,0.000134,0.000115
-0.002182,0.450776,0.000146,0.000115
-0.002058,0.450830,0.000148,0.000164
-0.002337,0.437074,0.000060,0.000086
-0.002392,0.437419,0.000065,0.000065
-0.002440,0.437776,0.000067,0.000052
-0.002482,0.438159,0.000066,0.000046
-0.002492,0.438560,0.000066,0.000043
-0.002468,0.438942,0.000067,0.000041
-0.002448,0.439285,0.000068,0.000042
-0.002470,0.439618,0.000072,0.000043
-0.002517,0.439996,0.000075,0.000049
-0.002530,0.440419,0.000076,0.000063
-0.002493,0.440833,0.000075,0.000076
-0.002435,0.441216,0.000082,0.000075
-0.002377,0.441564,0.000089,0.000066
-0.002345,0.441889,0.000091,0.000064
-0.002339,0.442226,0.000090,0.000071
-0.002326,0.442583,0.000093,0.000068
-0.002296,0.442931,0.000100,0.000059
-0.002270,0.443256,0.000103,0.000062
