Timestamp,Iteration,Repetition,step,field_mean (Tm),field_std,tension (g),current (A),P0_xa (mm),P0_xb (mm),P0_ya (mm),P0_yb (mm),P1_xa (mm),P1_xb (mm),P1_ya (mm),P1_yb (mm),P2_xa (mm),P2_xb (mm),P2_ya (mm),P2_yb (mm),P3_xa (mm),P3_xb (mm),P3_ya (mm),P3_yb (mm),P4_xa (mm),P4_xb (mm),P4_ya (mm),P4_yb (mm),raw_data_idx
20241004_135338,1,1,5,0.4366872655135713,5.200427472488209e-06,1116.183498686584,25.02544217096671,-189.999960848,-190.000038864,-80.00014330999997,-80.00001822999997,-184.999977734,-185.00004629,-80.00000330999998,-80.00002862999997,-194.999997316,-194.99999497,-80.00002450999997,-80.00002252999997,-184.999997265,-185.000100001,-79.99998380999997,-79.99999443000002,-189.999980379,-189.999970505,-79.99998221000001,-79.99997432999999,1
20241004_135356,1,2,5,0.4363026323227155,1.823547338507325e-06,1116.07894672032,25.04222960146804,-190.000029207,-190.000009567,-80.00000660999999,-80.00005242999998,-185.000011913,-185.000002344,-80.00000821,-80.00001392999997,-194.999953371,-194.999975438,-80.00000990999999,-80.00002252999997,-185.000016796,-184.999997461,-79.99996911000002,-79.99997973000001,-189.999965731,-190.000019333,-79.99998710999998,-80.00001333,2
20241004_135414,1,3,5,0.4366498077259995,1.374780209810673e-05,1116.268323866761,25.03835557904437,-189.99999991,-189.999965622,-80.00000660999999,-80.00002803000001,-184.999967968,-185.000031641,-80.00000330999998,-80.00000903,-194.999982668,-195.000043798,-79.99998540999999,-80.00003233000001,-185.000021679,-185.000095118,-80.00001310999997,-79.99999443000002,-189.999990144,-190.000009567,-79.99997730999999,-80.00000362999998,3
20241004_135434,1,1,5,0.4371218622449426,0.0001142666179304428,1116.341312975284,25.02537760392554,-180.00003384,-179.99999497,-80.00001950999999,-79.99997552999997,-174.99999518,-175.00003164,-80.00000161,-80.00001993000001,-185.000016796,-184.999987696,-80.00000821,-80.00001392999997,-175.00000006,-175.00000234,-80.00001620999998,-80.00001502999999,-180.00000454,-179.99999985,-80.00000000999998,-79.99999013000001,4
20241004_135452,1,2,5,0.4372108408790485,1.59047391798092e-05,1115.994121540145,25.02231066950773,-179.99997036,-179.99999497,-79.99995600999998,-79.99999013000001,-174.9999903,-175.00002188,-79.99999181000001,-80.00000532999996,-184.999982616,-184.999992579,-79.99997891000001,-79.99992602999998,-174.99995612,-175.00007559,-80.00000161,-79.99995643,-179.99999965,-179.99999497,-80.00000491,-79.99998522999999,5
20241004_135510,1,3,5,0.4375013881379543,0.0001889776919247674,1115.913241717186,25.01052718463338,-180.00000454,-179.99999985,-79.99997070999999,-79.99998522999999,-175.00000983,-175.00004141,-79.99996740999998,-80.00002972999999,-184.999977734,-184.999953516,-80.00003751,-80.00002373000001,-175.00002936,-174.99996816,-79.99994301000001,-79.99996622999998,-179.99998501,-179.99999497,-79.99999020999999,-79.99999993,6
20241004_135530,1,1,5,0.4373813576612348,0.0001691246325318444,1116.17363529354,25.0268949293759,-169.99998501,-170.00001953,-80.00005201000002,-79.99999613,-165.00004375,-164.99997045,-80.00006331,-79.99993323000001,-175.00001959,-175.00000723,-79.99999181000001,-80.00001502999999,-165.00002422,-165.00001928,-79.99995100999999,-80.00001133000001,-169.99998012,-170.00000977,-80.00003240999999,-79.99999122999998,7
20241004_135548,1,2,5,0.4375610665236948,8.155487825317186e-05,1116.023711719276,25.01798467780102,-169.99996548,-170.00000977,-79.99997871000002,-79.99998633000001,-165.00003399,-164.99999975,-80.00006821000002,-79.99992832999999,-175.00000006,-175.00001211,-79.99997721000003,-80.00001012999996,-164.99999492,-165.00000463,-79.99995100999999,-79.99999672999996,-170.00003872,-169.99998536,-80.00001781,-79.99996683000001,8
20241004_135606,1,3,5,0.4375415666019509,0.0002005143012734102,1115.903378324142,25.01875948228546,-170.00000454,-170.00000489,-79.99992991000002,-80.00000093,-165.00002422,-164.99999487,-79.99994611000002,-79.99997222999997,-175.00001959,-174.99999746,-80.00003090999999,-80.00000532999996,-165.00002422,-164.99999487,-80.00006821000002,-79.99994292999997,-170.00001919,-170.00001953,-79.99997381,-79.99997652999997,9
20241004_135626,1,1,5,0.4375999831072931,0.0001186623583025173,1115.692301713006,25.04697527893744,-159.99999991,-159.99999975,-80.00006001,-80.00008022999998,-155.00000957,-154.99999761,-80.00000790999999,-79.99997343000001,-164.99998028,-165.0000144,-80.00006821000002,-80.00003572999998,-154.99999004,-155.00001226,-80.00002751000002,-80.00002223000001,-159.99996573,-160.00000463,-79.99997700999998,-79.99994353,10
20241004_135644,1,2,5,0.4378700178586226,5.358116402079152e-05,1115.704137784659,25.01598309954871,-159.99992178,-159.99998998,-80.00000141000001,-80.00000212999998,-154.99998028,-155.0000025,-80.00003231000002,-80.00001732999999,-164.99996563,-164.99996069,-80.00000471000001,-79.99988443000001,-154.99996074,-155.0000025,-79.99994440999998,-80.00000273000001,-159.99997549,-159.99999487,-80.00000141000001,-79.99997762999999,11
20241004_135702,1,3,5,0.4378278634735971,0.0001382347906270951,1115.664684212483,25.0324799783679,-159.99998526,-159.99999487,-79.99999650999999,-79.99999722999996,-155.00003399,-155.00001226,-79.99997370999998,-79.99997823000001,-165.00005352,-164.99999487,-79.99999980999999,-79.99999183,-154.99999981,-155.00000738,-80.00002751000002,-80.00002223000001,-159.99998526,-159.99996557,-79.99998191,-80.00000212999998,12
20241004_135722,1,1,5,0.4383430514919192,0.0001566434479616734,1115.719919213528,25.03390045325524,-149.99998556,-149.9999999,-79.99999481,-80.00000332999997,-145.00003709,-145.00001206,-80.00000130999999,-79.99999413,-155.00005352,-154.99998296,-79.99997861,-79.99998803,-145.00000779,-144.99999741,-80.00000130999999,-80.00000382999997,-149.99999045,-149.99998525,-80.00000460999999,-79.99998862999996,13
20241004_135740,1,2,5,0.4386054393822338,0.0001492259911655088,1115.396399921694,25.02925162635042,-150.00003928,-149.99999502,-80.00002411,-80.00000332999997,-145.00001756,-145.00001694,-79.99998671,-79.99999413,-154.99998516,-155.00001714,-79.99998840999999,-79.99996852999999,-144.99998826,-144.99999253,-79.99998180999998,-80.00002832999996,-150.00000021,-149.99998525,-80.00002411,-80.00000822999999,14
20241004_135757,1,3,5,0.4385072517431392,1.00509552244084e-06,1115.441771529695,25.01743585795701,-149.99999045,-150.00000478,-80.00001431000001,-80.00000822999999,-145.00003221,-145.00001694,-79.99996710999997,-79.99999893,-154.99998516,-155.0000025,-80.00004211000001,-80.00000273000001,-144.99999314,-145.00000717,-79.99996710999997,-80.00002343,-150.00001975,-150.00000967,-79.99995571000002,-79.99994472999998,15
20241004_135818,1,1,5,0.4389824873025296,1.317651856449284e-05,1115.447689565521,25.03961463633177,-140.00001934,-140.00000489,-80.00008591000002,-80.00007282999997,-135.00001995,-134.99998988,-80.00007771,-79.99994153,-145.00002244,-144.99999253,-79.99998180999998,-80.00000872999999,-135.0000053,-135.00001429,-79.99993610999999,-80.00000992999998,-139.99997051,-140.00000977,-79.99999311000002,-79.99997513,16
20241004_135835,1,2,5,0.4390922050015094,2.648963338518389e-05,1115.376673135606,25.02179413318456,-139.99997539,-139.99999512,-80.00008101,-80.00001422999998,-135.00000041,-134.99999965,-79.99996540999999,-80.00000992999998,-144.99999803,-144.99999741,-80.00005010999999,-80.00002832999996,-135.00001506,-134.99999476,-79.99999470999998,-80.00004412999999,-139.99999492,-140.00000489,-79.99998821,-79.99999952999997,17
