Timestamp,Iteration,Repetition,step,field_mean (Tm),field_std,tension (g),current (A),P0_xa (mm),P0_xb (mm),P0_ya (mm),P0_yb (mm),P1_xa (mm),P1_xb (mm),P1_ya (mm),P1_yb (mm),P2_xa (mm),P2_xb (mm),P2_ya (mm),P2_yb (mm),P3_xa (mm),P3_xb (mm),P3_ya (mm),P3_yb (mm),P4_xa (mm),P4_xb (mm),P4_ya (mm),P4_yb (mm),raw_data_idx
20241004_142959,1,1,5,0.002319087355848523,0.0001105539002940294,1113.960289894525,25.02308547399239,195.00004665,195.00000628,-75.00000971,-75.00001643000002,195.00002225,194.99993788,-70.00002591000001,-70.00001103,195.00000765,195.00007468,-79.99992310999997,-79.99995293000001,194.99994905,194.99994768,-70.00010411000002,-70.00001103,195.00008085,195.00006488,-74.99997061000002,-75.00003103,118
20241004_143017,1,2,5,0.002519763793611307,3.145991801127678e-05,1113.804448284433,25.02005082309494,195.00005645,195.00005998,-75.00000480999998,-75.00004573000001,194.99999295,194.99996228,-70.00008450999999,-70.00000612999997,195.00000765,194.99999648,-80.00005981000001,-80.00000173000001,194.99999295,195.00004048,-70.00000641,-69.99995243000001,194.99997835,194.99997208,-75.00005851,-75.00003103,119
20241004_143035,1,3,5,0.002211882783549589,0.000473064605319194,1113.942535787045,25.04610362389189,194.99997345,194.99997208,-74.99999991000001,-75.00003103,194.99999295,194.99996718,-70.00006011000002,-69.99999643000001,195.00000275,194.99996228,-80.00003540999998,-79.99998712999997,195.00005645,194.99999648,-69.99997711,-69.99995243000001,194.99995395,194.99998188,-75.00003410999997,-74.99999693000001,120
20241004_143055,1,1,5,0.002378379883720898,0.0001928081263210651,1113.942535787045,25.01798467780007,195.00000765,195.00001118,-64.99991480999998,-64.99997992999999,194.99998325,195.00007468,-60.00001431000001,-59.99995312999999,194.99999295,194.99996718,-70.00000641,-70.00002082999998,194.99999785,194.99996718,-60.00005831000001,-59.99998733000001,195.00000275,194.99999158,-65.00006131000001,-65.00004832999997,121
20241004_143113,1,2,5,0.002373802817344453,0.0001181881154174792,1113.974098644785,25.01533742914415,194.99998815,195.00003068,-65.00001251,-65.00001902999998,195.00002715,195.00006978,-60.00000460999999,-59.99996783,194.99998815,195.00005508,-70.00007480999997,-70.00002562999998,195.00005645,194.99998188,-60.00002411,-59.99999713,195.00000765,195.00000138,-64.99998801000001,-65.00007273,122
20241004_143131,1,3,5,0.001904179630227772,0.0001993873834468403,1114.047087753309,25.02902564170743,194.99997835,194.99993308,-65.00005640999998,-64.99999952999997,195.00000765,194.99995258,-59.99995091000002,-60.00000202999996,194.99995885,195.00001118,-70.00001620999998,-69.99998662999997,195.00005155,195.00004528,-60.00000940999999,-59.99997272999997,194.99998815,195.00000628,-65.00002710999999,-64.99996042999999,123
20241004_143151,1,1,5,0.001428210935682095,0.0001883594982485605,1114.445568832276,25.03874298128711,194.99998815,195.00002088,-54.99986580999999,-54.99991833000001,194.99998325,195.00000628,-50.00002939999999,-49.99996182999996,194.99996365,195.00004528,-60.00009250999997,-59.99998733000001,195.00005645,194.99998678,-49.99999521999999,-50.00000573,194.99997345,194.99998678,-55.00001711000002,-55.00000132999998,124
20241004_143209,1,2,5,0.001522932403940012,0.0004064109454412798,1114.143749005138,25.02211696838568,195.00004185,194.99999648,-54.99995370999997,-55.00000132999998,195.00000275,195.00003068,-50.00000986999999,-49.99997152999998,194.99999295,195.00001118,-60.00005340999999,-59.99997752999997,194.99995885,195.00000138,-50.00000011,-49.99997152999998,195.00004185,194.99997698,-54.99995850999997,-55.00000132999998,125
20241004_143227,1,3,5,0.001579497765875961,0.0004642202037481269,1114.0451150747,25.03538549514954,195.00005155,195.00000138,-54.99999270999999,-55.00000623,194.99998815,194.99995258,-50.00001963,-49.99999602999998,194.99997345,195.00005998,-60.00004850999997,-59.99998242999999,194.99999785,194.99997208,-50.00004404999999,-49.99996182999996,195.00003695,194.99998188,-55.00003670999999,-54.99999643000001,126
20241004_143247,1,1,5,0.0020044475257367,0.0003209221711930396,1114.037224360266,25.03515951054415,194.99997345,195.00002578,-45.00004648999999,-44.99998564999999,194.99999295,195.00000138,-40.00002918999999,-39.99997995999999,194.99995395,195.00002088,-50.00001474999999,-49.99999113000001,194.99998815,195.00000138,-40.00003408000001,-39.99997506999998,194.99998815,194.99994278,-44.99998300999999,-45.00000029999998,127
20241004_143305,1,2,5,0.001432710449155512,0.0002872351862001644,1114.106268111572,25.01863034820342,194.99997835,194.99995258,-45.00002695999999,-45.00000029999998,194.99996365,195.00001608,-39.99991201,-40.00000925999998,194.99995395,194.99998188,-50.00002939999999,-49.99998132999997,195.00002225,195.00001118,-39.99999013999999,-39.99999948999999,195.00003205,194.99997208,-45.00005136999999,-45.00002472,128
20241004_143323,1,3,5,0.001102605716025804,0.0009839121811500244,1114.169393827051,25.03735478991948,194.99999295,194.99999648,-45.00004648999999,-45.00001983999999,195.00003205,194.99998678,-40.00002918999999,-39.99997506999998,195.00001745,195.00007948,-50.00001963,-49.99999113000001,195.00003205,195.00001608,-40.00006338,-39.99996042999999,194.99998815,195.00001118,-44.99994394999999,-45.00000029999998,129
20241004_143344,1,1,5,0.001190684063789222,0.0006413546574179546,1114.13980364792,25.04742724821345,194.99989045,194.99995748,-35.00002258000001,-34.99992893999999,195.00004665,195.00001608,-29.99998728,-29.99999989999998,194.99998325,194.99998678,-40.00005361000001,-39.99998484,195.00004185,195.00001608,-30.00004587000001,-29.99996084,195.00002715,194.99999648,-34.99998352,-35.00006077999998,130
20241004_143401,1,2,5,0.0003548834725289207,0.0005888172427949216,1112.715529692404,25.03603116558828,194.99999785,194.99998678,-35.00012024,-34.99999241999998,194.99993925,194.99998678,-29.99999704999999,-29.99996084,194.99993925,194.99996228,-40.00004383999999,-40.00000437,195.00000275,194.99999158,-29.99997751999999,-30.00000965999999,195.00001745,194.99997208,-34.99999817,-35.00002171999998,131
20241004_143419,1,3,5,0.000518885149079791,0.0003237772920391336,1113.374404347725,25.02185870022312,195.00002225,194.99997698,-35.0000177,-35.00002171999998,195.00000765,195.00000628,-30.00000682000001,-29.99996571999998,195.00000275,194.99999648,-40.00002918999999,-39.99998972,194.99993925,195.00000138,-30.00001657999999,-29.99996571999998,195.00003695,194.99996718,-34.99996399,-34.99997776999999,132
20241004_143440,1,1,5,0.0005727594556751427,9.600009469136563e-06,1114.122049540441,25.02812170314064,194.99988555,194.99991348,-24.99995992000001,-24.99997252999998,194.99999785,194.99999158,-19.99996389,-19.99995268999999,194.99992955,195.00002578,-29.99999216999998,-29.99999500999999,194.99996365,194.99994278,-19.99999317999999,-19.99998687999999,194.99993435,194.99993308,-24.99999410000001,-24.99998228999999,133
20241004_143457,1,2,5,0.0007175444757414585,0.0003355604744032623,1114.047087753309,25.02686264585431,194.99992955,194.99995748,-24.99993551,-24.99999695,194.99997835,195.00001118,-19.99992971,-19.99999663999998,194.99996365,194.99997698,-29.99999216999998,-29.99998036,194.99993435,194.99993788,-20.00001270999999,-19.99997223,195.00001255,195.00000628,-25.00001852,-25.00000183,134
20241004_143515,1,3,5,0.0009807534078660907,0.0001009849089995249,1114.289727222185,25.02479650056258,195.00001255,194.99998678,-25.00000387,-24.99998228999999,194.99993925,194.99998188,-19.99991994999999,-19.99996245999998,194.99998325,194.99992818,-29.99997751999999,-30.00000477999998,194.99998815,195.00000628,-19.99994924000001,-20.00000151999998,195.00000765,194.99999158,-25.00001362999998,-25.00002624999999,135
20241004_143536,1,1,5,-0.0004596911403340634,0.0001376441874986178,1114.064841860788,25.03877526480639,194.99997345,194.99995748,-15.00001896999999,-14.99997389999999,194.99998325,194.99999648,-10.00005644999999,-9.999972630000002,194.99999785,195.00001118,-19.99999806,-19.99999663999998,194.99999785,194.99998678,-10.00005157000001,-9.99996286999999,195.00000275,194.99994278,-14.99997991000001,-15.00003249999997,136
20241004_143554,1,2,5,0.0007666346226271137,8.470734096204996e-05,1114.114158826007,25.01130198909809,195.00001745,194.99998188,-14.99998478999998,-15.00003249999997,194.99999785,195.00003068,-10.00002228,-9.999992169999985,194.99999785,194.99993788,-19.99995411999998,-20.00000151999998,194.99999295,194.99999648,-9.999958800000002,-9.999987279999999,194.99999295,194.99998678,-15.00002384999999,-15.00000319999998,137
20241004_143611,1,3,5,-6.445882866955212e-05,0.0005165905273377026,1114.374552402362,25.02821855370308,195.00001745,194.99997698,-15.00000431999999,-14.99999831999997,195.00000275,194.99999158,-9.999968569999993,-9.999992169999985,195.00003205,195.00002578,-19.99998342000001,-19.99998198999998,194.99998815,195.00000628,-9.999968569999993,-9.999967749999996,194.99995395,194.99994768,-15.00000431999999,-14.99997879,138
20241004_143632,1,1,5,-0.0004456667342325995,0.0003588813369497287,1114.402169902884,25.02398941255727,194.99997345,195.00000138,-4.999983159999999,-4.999986319999977,194.99998815,194.99998678,-6.560000002764355e-06,3.606000001354914e-05,194.99993435,195.00003068,-9.999963680000008,-9.99999704999999,194.99997835,194.99998188,-1.679999996895276e-06,-1.275999997574218e-05,194.99998325,194.99994768,-5.000031989999997,-5.000025379999983,139
20241004_143650,1,2,5,-5.43874008945188e-05,4.45264071772536e-05,1113.808393641651,25.02169728262393,195.00000275,195.00001608,-5.000046639999994,-5.000035139999994,194.99999785,195.00001118,-1.144999998814455e-05,1.165000000469263e-05,194.99998815,194.99999158,-9.999988099999996,-9.999992169999985,194.99996365,194.99998188,-2.120999999988271e-05,4.583000000479842e-05,195.00000275,194.99999158,-5.000022229999985,-5.000035139999994,140
20241004_143707,1,3,5,0.0004957383024799103,0.0001885647002438756,1114.193065970357,25.03254454540878,194.99998325,194.99999158,-5.000046639999994,-5.000015609999991,194.99994905,195.00000628,-1.144999998814455e-05,4.583000000479842e-05,194.99999295,195.00000138,-9.999968569999993,-10.00000681,194.99996365,194.99995258,-1.144999998814455e-05,1.654000001849454e-05,195.00001255,195.00000138,-5.000022229999985,-5.000000970000002,141
20241004_143728,1,1,5,0.0001871494747961174,9.647090079742125e-05,1114.238437578358,25.01717758979667,195.00005645,195.00000628,5.000005799999997,5.000035510000004,195.00003695,195.00000138,9.999992579999997,10.00004670000001,195.00000275,194.99999158,-2.120999999988271e-05,1.890000021376181e-06,195.00002225,195.00001608,9.999987690000012,10.00003205000002,194.99994905,194.99999648,4.999976500000002,4.999981790000021,142
20241004_143746,1,2,5,-0.0004379764943121902,0.0007184092219836946,1114.197011327574,25.00694371389349,195.00002225,195.00000138,4.999986269999994,4.999972030000009,194.99999295,195.00000138,9.999992579999997,10.00000763,195.00004185,195.00001118,-2.120999999988271e-05,1.890000021376181e-06,194.99997835,195.00000138,9.999997460000003,10.00000763,195.00001255,195.00001608,4.999986269999994,4.999991560000012,143
20241004_143804,1,3,5,-0.001058416150270173,2.906021774324001e-05,1114.70793508724,25.0323508442884,194.99998815,194.99998678,4.99999115,4.999986669999998,194.99990505,195.00000628,9.999987690000012,10.00001251,195.00001255,194.99998678,-2.609000000575179e-05,1.890000021376181e-06,195.00004665,195.00003558,9.999997460000003,10.00000763,194.99999785,194.99995748,5.000000910000011,5.000011090000015,144
20241004_143824,1,1,5,-0.0001360220450256072,0.0006563803608458182,1115.124170273686,25.03499809294467,195.00005645,195.00000628,15.00009242000002,15.00000758000002,194.99987575,194.99994768,19.99997268999999,20.00002381000002,195.00002715,194.99998678,9.999973040000015,10.00000763,194.99997345,195.00005018,20.00003616000001,20.00006287000002,195.00006135,195.00001118,14.99997522999999,15.00002712,145
20241004_143842,1,2,5,-0.0006605011569595016,0.0002897859010701755,1114.222656149488,25.02279492230813,195.00011015,195.00000628,14.99996057999999,15.00000758000002,195.00007115,195.00000138,19.9999971,19.99997498000002,194.99995885,195.00004528,9.999973040000015,10.00000763,195.00004665,195.00002578,19.99998733999999,20.00000428000001,195.00000275,195.00001608,14.99998011,15.00004176000002,146
20241004_143900,1,3,5,-0.0002829213225768741,4.156064286412513e-05,1114.417951331754,25.01972798789262,195.00001255,195.00001608,14.99997522999999,15.00004664000002,194.99994415,194.99998188,19.99997757,19.99999451000002,195.00000275,195.00001118,9.999958389999989,10.00002717000001,194.99999785,195.00000628,19.99998733999999,19.99995545000002,195.00004185,195.00001118,14.99998011,14.99998805000001,147
20241004_143920,1,1,5,-0.001416360656750163,0.0002663294924201794,1114.275918471924,25.02453823240142,194.99997835,194.99993788,25.00001791,24.99997691000002,195.00003205,195.00005508,30.00002986000001,30.00004283000001,195.00004665,194.99999158,19.99996780000001,19.99998474,195.00000275,195.00002088,29.99995661,29.99996959000001,194.99997835,194.99998188,24.99996908,24.99997691000002,148
20241004_143938,1,2,5,-0.001609618357898891,0.0004978156877905076,1114.307481329664,25.02747603273698,195.00002225,195.00000138,24.99997396000001,24.99998179000002,195.00000275,195.00005018,29.99999080000001,29.99997447000001,195.00004185,194.99996228,19.99997268999999,20.00004822000002,195.00002715,195.00005508,30.00003963,30.00002330000001,194.99998815,194.99998188,24.99995443,25.00005015000002,149
20241004_143956,1,3,5,-0.0007426081679883868,0.0008332213694477271,1114.605355799585,25.03186659148627,195.00002225,195.00001118,24.99995443,25.00005015000002,194.99998815,195.00001118,29.99998592,29.99999401000002,195.00003695,194.99996718,19.99995315999999,19.99998474,195.00003695,195.00006978,29.99998592,30.00002330000001,195.00008085,195.00000628,25.00000324999999,24.99999644000002,150
20241004_144016,1,1,5,-0.001391920016826335,0.0002393631085105709,1114.214765435053,25.01556341378717,195.00005155,195.00004528,34.99999675000001,35.00001196000002,195.00001745,194.99998678,39.99999258,40.00000702,194.99998815,194.99997208,29.99994685000001,30.0000526,195.00001255,195.00004048,40.00000722999999,40.00001191000001,195.00001255,195.00002088,34.99997232999999,35.00001196000002,151
