Timestamp,Iteration,repetition,PosX,PosY,Gradient X,std,Gradient Y,std
20241004_135415,1,1,-190,-80,0.4365465685207621,0.0002120835283573794,0,0
20241004_135510,1,1,-180,-80,0.4372780304206484,0.0001984837568716245,0,0
20241004_135606,1,1,-170,-80,0.4374946635956268,9.860901486853742e-05,0,0
20241004_135702,1,1,-160,-80,0.4377659548131709,0.0001452728584705992,0,0
20241004_135758,1,1,-150,-80,0.4384852475390974,0.0001325706980918798,0,0
20241004_135854,1,1,-140,-80,0.4390808947188828,9.326803522589109e-05,0,0
20241004_135950,1,1,-130,-80,0.4393818583305953,0.0001476874580620724,0,0
20241004_140045,1,1,-120,-80,0.4393170394841485,0.000107617392800336,0,0
20241004_140141,1,1,-110,-80,0.4395217753356579,0.0001286331643925942,0,0
20241004_140237,1,1,-100,-80,0.4406803014716283,0.0001339856468046098,0,0
20241004_140333,1,1,-90,-80,0.4409372422606399,0.0003703207189466762,0,0
20241004_140429,1,1,-80,-80,0.4414637140473306,0.0002545302906293318,0,0
20241004_140525,1,1,-70,-80,0.4418378735448016,0.0002101559389928734,0,0
20241004_140621,1,1,-60,-80,0.4417480364827753,8.491592775851157e-05,0,0
20241004_140717,1,1,-50,-80,0.4422712663909258,0.00035566715166575,0,0
20241004_140813,1,1,-40,-80,0.4427849424619613,0.0002041447196412249,0,0
20241004_140909,1,1,-30,-80,0.4432355648051864,0.0001055634654690902,0,0
20241004_141004,1,1,-20,-80,0.4433233014186246,0.0001024727937645129,0,0
20241004_141100,1,1,-10,-80,0.4435890433041818,0.000399027838275967,0,0
20241004_141156,1,1,0,-80,0.4437901350731591,0.0004017270569111071,0,0
20241004_141252,1,1,10,-80,0.4445513725324244,0.0001476867913389494,0,0
20241004_141348,1,1,20,-80,0.4452716676829933,0.0003734539658442187,0,0
20241004_141444,1,1,30,-80,0.4452565952875389,0.0002449733504657144,0,0
20241004_141539,1,1,40,-80,0.4458326170856767,0.0001623234104293577,0,0
20241004_141635,1,1,50,-80,0.4458425737044602,0.0002063332773718049,0,0
20241004_141731,1,1,60,-80,0.4461733769428227,0.0001737061834709155,0,0
20241004_141827,1,1,70,-80,0.4465967123591719,0.0004250164672352952,0,0
20241004_141923,1,1,80,-80,0.4471187137730699,0.0002295044529265869,0,0
20241004_142019,1,1,90,-80,0.4478580213279908,0.0003812326767036855,0,0
20241004_142115,1,1,100,-80,0.448076089565361,0.0002135938191852795,0,0
20241004_142211,1,1,110,-80,0.4475106910951597,0.0002599456939457819,0,0
20241004_142307,1,1,120,-80,0.4480311936473377,0.000392034425982699,0,0
20241004_142403,1,1,130,-80,0.4489012152747778,1.44949865126031e-05,0,0
20241004_142459,1,1,140,-80,0.4493140006784658,0.0002175245165840833,0,0
20241004_142555,1,1,150,-80,0.4497423946555429,0.0003170032358732419,0,0
20241004_142651,1,1,160,-80,0.4497814052291538,0.0001680165430164277,0,0
20241004_142748,1,1,170,-80,0.4511461994755129,0.0003353788935232441,0,0
20241004_142844,1,1,180,-80,0.4511802821808713,9.49934338613483e-05,0,0
20241004_142940,1,1,190,-80,0.4503826952594964,0.0003940625014726445,0,0
20241004_143036,1,1,195,-75,0,0,0.002350244644336473,0.0001562874325036944
20241004_143132,1,1,195,-65,0,0,0.002218787443764374,0.000272467969930164
